Navn;Stasjon;Tid(norsk normaltid);Nedbør (1 t);Lufttemperatur;Antall minutter nedbør siste time;Høyeste middelvind (1 t)
Strømtangen Fyr;SN17000;06.01.2024 23:00;0,1;-14,3;10;6,4
Strømtangen Fyr;SN17000;07.01.2024 00:00;0;-14,8;13;7
Strømtangen Fyr;SN17000;07.01.2024 01:00;0,1;-13,7;14;7,6
Strømtangen Fyr;SN17000;07.01.2024 02:00;0;-14;11;7,8
Strømtangen Fyr;SN17000;07.01.2024 03:00;0;-13,6;5;7,8
Strømtangen Fyr;SN17000;07.01.2024 04:00;0;-13,5;7;7,7
Strømtangen Fyr;SN17000;07.01.2024 05:00;0;-13,6;12;7,4
Strømtangen Fyr;SN17000;07.01.2024 06:00;0;-13,8;9;7,8
Strømtangen Fyr;SN17000;07.01.2024 07:00;0;-13,8;6;6,8
Strømtangen Fyr;SN17000;07.01.2024 08:00;0,1;-13,7;11;7,1
Strømtangen Fyr;SN17000;07.01.2024 09:00;0,1;-13,2;13;7,7
Strømtangen Fyr;SN17000;07.01.2024 10:00;0,1;-12,6;12;7,5
Strømtangen Fyr;SN17000;07.01.2024 11:00;0;-12,7;9;6,2
Strømtangen Fyr;SN17000;07.01.2024 12:00;0;-12,6;1;4,5
Strømtangen Fyr;SN17000;07.01.2024 13:00;0;-11,7;0;4,8
Strømtangen Fyr;SN17000;07.01.2024 14:00;0;-12,1;0;5,5
Strømtangen Fyr;SN17000;07.01.2024 15:00;0;-12,6;0;4,6
Strømtangen Fyr;SN17000;07.01.2024 16:00;0;-13,1;0;4,6
Strømtangen Fyr;SN17000;07.01.2024 17:00;0;-13,1;0;4,9
Strømtangen Fyr;SN17000;07.01.2024 18:00;0;-13,8;0;5,4
Strømtangen Fyr;SN17000;07.01.2024 19:00;0;-13,5;0;5,3
Strømtangen Fyr;SN17000;07.01.2024 20:00;0;-14,3;0;5,2
Strømtangen Fyr;SN17000;07.01.2024 21:00;0;-12,8;0;5,6
Strømtangen Fyr;SN17000;07.01.2024 22:00;0;-14;0;5,7
Strømtangen Fyr;SN17000;07.01.2024 23:00;0;-14,4;0;4,9
Strømtangen Fyr;SN17000;08.01.2024 00:00;0;-13,1;4;4,7
Strømtangen Fyr;SN17000;08.01.2024 01:00;0,1;-13,4;5;4,9
Strømtangen Fyr;SN17000;08.01.2024 02:00;0;-12,5;3;5,6
Strømtangen Fyr;SN17000;08.01.2024 03:00;0,1;-12,5;2;5,7
Strømtangen Fyr;SN17000;08.01.2024 04:00;0,1;-11,1;2;4,4
Strømtangen Fyr;SN17000;08.01.2024 05:00;0;-11,7;0;4,1
Strømtangen Fyr;SN17000;08.01.2024 06:00;0;-11,3;0;4,1
Strømtangen Fyr;SN17000;08.01.2024 07:00;0;-11,9;3;4,1
Strømtangen Fyr;SN17000;08.01.2024 08:00;0;-11,7;0;4,5
Strømtangen Fyr;SN17000;08.01.2024 09:00;0;-11,1;1;3,8
Strømtangen Fyr;SN17000;08.01.2024 10:00;0;-10,8;0;3,6
Strømtangen Fyr;SN17000;08.01.2024 11:00;0;-10,7;1;4
Strømtangen Fyr;SN17000;08.01.2024 12:00;0;-10,5;1;3,4
Strømtangen Fyr;SN17000;08.01.2024 13:00;0;-10,6;0;3,5
Strømtangen Fyr;SN17000;08.01.2024 14:00;0;-10,3;1;3,7
Strømtangen Fyr;SN17000;08.01.2024 15:00;0;-9,6;0;3,4
Strømtangen Fyr;SN17000;08.01.2024 16:00;0;-9,9;2;4,2
Strømtangen Fyr;SN17000;08.01.2024 17:00;0;-9,6;0;3,8
Strømtangen Fyr;SN17000;08.01.2024 18:00;0;-9,9;0;3,3
Strømtangen Fyr;SN17000;08.01.2024 19:00;0;-9,4;1;3,2
Strømtangen Fyr;SN17000;08.01.2024 20:00;0;-9,5;0;3,2
Strømtangen Fyr;SN17000;08.01.2024 21:00;0;-9,2;1;4,1
Strømtangen Fyr;SN17000;08.01.2024 22:00;0;-9,6;0;4,8
Strømtangen Fyr;SN17000;08.01.2024 23:00;0;-8,8;0;3,8
Strømtangen Fyr;SN17000;09.01.2024 00:00;0;-9,6;0;3,1
Strømtangen Fyr;SN17000;09.01.2024 01:00;0;-9,4;0;3,2
Strømtangen Fyr;SN17000;09.01.2024 02:00;0;-8,9;0;3,3
Strømtangen Fyr;SN17000;09.01.2024 03:00;0;-8,8;0;3,6
Strømtangen Fyr;SN17000;09.01.2024 04:00;0;-8,6;1;4,2
Strømtangen Fyr;SN17000;09.01.2024 05:00;0;-8;0;4
Strømtangen Fyr;SN17000;09.01.2024 06:00;0;-8,2;0;5,1
Strømtangen Fyr;SN17000;09.01.2024 07:00;0;-8,2;0;3,7
Strømtangen Fyr;SN17000;09.01.2024 08:00;0;-8,5;0;4,5
Strømtangen Fyr;SN17000;09.01.2024 09:00;0;-8,9;0;4,7
Strømtangen Fyr;SN17000;09.01.2024 10:00;0;-8,7;0;5,6
Strømtangen Fyr;SN17000;09.01.2024 11:00;0;-8,4;1;6,5
Strømtangen Fyr;SN17000;09.01.2024 12:00;0;-8,2;0;7,5
Strømtangen Fyr;SN17000;09.01.2024 13:00;0;-7,2;0;3,9
Strømtangen Fyr;SN17000;09.01.2024 14:00;0;-6,8;0;4,8
Strømtangen Fyr;SN17000;09.01.2024 15:00;0;-6,2;0;3,6
Strømtangen Fyr;SN17000;09.01.2024 16:00;0;-6,2;0;2,2
Strømtangen Fyr;SN17000;09.01.2024 17:00;0;-6,5;0;2,4
Strømtangen Fyr;SN17000;09.01.2024 18:00;0;-5,5;0;2,3
Strømtangen Fyr;SN17000;09.01.2024 19:00;0;-5,7;0;2,7
Strømtangen Fyr;SN17000;09.01.2024 20:00;0;-6,2;0;2,7
Strømtangen Fyr;SN17000;09.01.2024 21:00;0;-6,6;0;3,3
Strømtangen Fyr;SN17000;09.01.2024 22:00;0;-7;0;3,1
Strømtangen Fyr;SN17000;09.01.2024 23:00;0;-7,3;1;3,8
Strømtangen Fyr;SN17000;10.01.2024 00:00;0;-6,1;0;3,1
Strømtangen Fyr;SN17000;10.01.2024 01:00;0;-7;0;3,1
Strømtangen Fyr;SN17000;10.01.2024 02:00;0;-6,6;0;3
Strømtangen Fyr;SN17000;10.01.2024 03:00;0;-6,7;0;3,1
Strømtangen Fyr;SN17000;10.01.2024 04:00;0;-7,6;0;4
Strømtangen Fyr;SN17000;10.01.2024 05:00;0;-7,6;0;3,5
Strømtangen Fyr;SN17000;10.01.2024 06:00;0;-7,7;0;3
Strømtangen Fyr;SN17000;10.01.2024 07:00;0;-7,8;0;3,4
Strømtangen Fyr;SN17000;10.01.2024 08:00;0;-7,9;0;3,4
Strømtangen Fyr;SN17000;10.01.2024 09:00;0;-8;0;3,2
Strømtangen Fyr;SN17000;10.01.2024 10:00;0;-7,2;0;3,3
Strømtangen Fyr;SN17000;10.01.2024 11:00;0;-6,9;0;3,4
Strømtangen Fyr;SN17000;10.01.2024 12:00;0;-5,7;0;3,6
